证券代码',最新公司全称_Lcomnm,会计期间',速动比率X1,利息保障倍数X2,权益乘数X3,固定资产周转率X4,总资产周转率X5,长期资本收益率X6,营业利润率X7,净利润现金含量X8,总资产增长率X9,FAIL
002450,康得新复合材料集团股份有限公司,2013-12-31,1.3017,6.8566,2.0965,2.13889017312512,0.400954555574091,0.218545975636558,22.8474,0.341916465844278,37.5036,1
002450,康得新复合材料集团股份有限公司,2014-12-31,1.7944,6.1115,2.2534,1.53023040330021,0.478838782872719,0.360489997637098,22.5517,0.429592437818663,36.5923,1
002450,康得新复合材料集团股份有限公司,2015-12-31,1.856,6.0026,1.9933,2.15460021096615,0.40610708615981,0.455915122930974,21.9298,0.645258139987842,68.8778,1
002450,康得新复合材料集团股份有限公司,2016-12-31,2.1426,9.0448,1.6937,2.99196832857412,0.349392682804223,0.544579475102466,24.5591,-0.0242146500590137,42.361,1
002450,康得新复合材料集团股份有限公司,2017-12-31,2.0923,8.1065,1.9004,3.32829992713517,0.344082390783847,0.379667388573594,24.5393,1.4789979203734,29.6582,1
002450,康得新复合材料集团股份有限公司,2018-12-31,1.856,1.7155,1.8867,2.46806751320947,0.267132789635467,0.0635940808937837,4.2957,4.618695184921,-0.0252,1
002477,雏鹰农牧集团股份有限公司,2010-12-31,5.1586,9.3088,1.145,2.74019135503483,0.378693652494496,0.223403802777291,16.3159,0.207446064707536,177.9533,1
002477,雏鹰农牧集团股份有限公司,2011-12-31,1.2694,23.0434,1.3124,3.59196521818754,0.509038350182037,0.377709831420723,32.5515,0.34583389487,41.6166,1
002477,雏鹰农牧集团股份有限公司,2012-12-31,0.5772,6.3779,2.0326,1.43326265342291,0.354326940033015,0.147140016906708,19.0096,-0.300661008490146,74.9499,1
002477,雏鹰农牧集团股份有限公司,2013-12-31,0.3322,1.7302,2.8101,0.90525641631737,0.29807351359308,0.0528249464439663,2.5187,3.08936242370809,40.2595,1
002477,雏鹰农牧集团股份有限公司,2014-12-31,0.353,0.1743,2.5142,0.658823667990383,0.243286921466957,-0.00380212415312963,-9.7529,0.818814723205067,15.5417,1
002477,雏鹰农牧集团股份有限公司,2015-12-31,1.1892,2.3031,2.1609,2.3631688601619,0.355454810556743,0.102399481216657,1.4219,-1.18715875775562,40.6039,1
002477,雏鹰农牧集团股份有限公司,2016-12-31,1.624,3.5018,2.4891,3.99901580486911,0.357488611287223,0.203882617291791,15.3001,2.15974417454769,66.2645,1
002477,雏鹰农牧集团股份有限公司,2017-12-31,1.0746,1.2424,3.5475,1.57479052105038,0.249266636193757,0.0864532379205541,2.8531,0.705552336871921,34.1858,1
002477,雏鹰农牧集团股份有限公司,2018-12-31,0.5571,-4.7385,8.2545,0.949763010489324,0.168782985146072,-0.268716817254095,-113.8254,0.200839163243694,-7.8409,1
002499,科林环保装备股份有限公司,2010-12-31,3.8163,43.7382,1.2638,7.37642962605807,0.420678410872189,0.578384811185648,12.9508,-0.115895031797851,170.85,1
002499,科林环保装备股份有限公司,2018-12-31,1.3958,-31.0826,6.2927,0.424164341774978,0.0656534863212839,-1.9904248748304,-588.1033,0.464849008480696,-21.5728,1
002501,吉林利源精制股份有限公司,2010-12-31,3.4639,5.7805,1.5686,2.09047850465981,0.573931280293628,0.233128143625644,9.6491,0.93155553545164,123.4934,1
002501,吉林利源精制股份有限公司,2011-12-31,1.8396,5.2546,1.7807,2.2621026011514,0.553562023983858,0.192934076784806,13.083,-0.620022670377849,24.8401,1
002501,吉林利源精制股份有限公司,2012-12-31,0.8673,4.2671,2.5279,2.03105645449394,0.423035935783058,0.158122343246498,15.0273,2.73405048215568,61.3666,1
002501,吉林利源精制股份有限公司,2013-12-31,1.351,4.3082,1.48,1.68339227405625,0.410326429436932,0.150971502867558,17.8656,2.77717720516732,27.1361,1
002501,吉林利源精制股份有限公司,2014-12-31,1.5714,5.0917,1.9501,1.27328268219716,0.288365715164361,0.158052437076893,23.8718,1.84457383786373,46.4175,1
002501,吉林利源精制股份有限公司,2015-12-31,0.1535,4.0731,2.2984,0.663871084188221,0.260412433824248,0.0935619396374265,24.1463,1.75585274137587,31.6136,1
002501,吉林利源精制股份有限公司,2016-12-31,0.1849,3.6667,2.648,0.707672619158337,0.211589466233537,0.0849071922031398,23.0758,1.2823096275856,37.0729,1
002501,吉林利源精制股份有限公司,2017-12-31,0.1364,3.6579,1.9046,0.374034132273202,0.199096036575745,0.0608208882537336,21.0384,2.44922924444126,25.9399,1
002501,吉林利源精制股份有限公司,2018-12-31,0.0988,-4.8553,3.0961,0.0445577540184598,0.038872449140112,-0.286365522938363,-815.5835,0.0609152291992389,-19.2602,1
002569,浙江步森服饰股份有限公司,2011-12-31,2.1081,140.797,1.4854,9.13211135193055,0.826387690896307,0.617560365588595,9.8758,-0.695420876936898,92.7137,1
002569,浙江步森服饰股份有限公司,2012-12-31,1.7475,21.7634,1.4439,4.88979150303426,0.738248393097932,0.307583871463783,9.0721,0.209949707588762,2.3542,1
002569,浙江步森服饰股份有限公司,2013-12-31,1.4739,3.7372,1.4747,5.35158427128353,0.723371165473227,0.100789231713361,1.8152,-9.19968030089389,1.7063,1
