证券代码,企业名称,会计区间,速动比率 x1,利息保障倍数 x2,权益乘数 x3,固定资产周转率 x4,总资产周转率 x5,长期资本收益率 x6,营业利润率 x7,净利润现金含量 x8,总资产增长率 x9,FAIL
600139,四川西部资源控股股份有限公司,40543,2.8452,230.5734,1.2528,2.666490355,0.356691471,0.613601321,65.2779,0.190490073,36.3732,0
600139,四川西部资源控股股份有限公司,41639,3.2813,-1.6664,1.6639,1.750207966,0.178615187,-0.014801164,-7.9211,-1.29252983,14.2556,0
600139,四川西部资源控股股份有限公司,42004,1.3016,2.3016,2.9571,0.811410863,0.07151005,0.014310172,2.1584,5.540409478,173.0951,0
600139,四川西部资源控股股份有限公司,42369,1.1387,-2.0561,4.2128,2.498089413,0.182650701,-0.033219962,-10.6481,-1.113185613,24.2598,0
600139,四川西部资源控股股份有限公司,42735,1.2565,-0.0556,3.7849,2.581377483,0.142217673,0.00993201,38.1707,1.148609448,-24.4207,0
600139,四川西部资源控股股份有限公司,43100,0.974,-12.6859,5.4447,0.929526656,0.058146185,-0.179106914,-96.2515,-0.096839556,-18.7423,0
600139,四川西部资源控股股份有限公司,43465,1.7949,1.0644,3.7821,8.52489882,0.052287233,0.026608754,12.8154,-42.64032516,-29.1348,0
600148,长春一东离合器股份有限公司,40543,0.9043,9.138,2.692,4.420528276,0.878895804,0.243497719,5.6719,0.945341724,29.0927,0
600148,长春一东离合器股份有限公司,40908,1.024,8.8919,2.5838,4.426167232,0.831848596,0.359973561,8.1236,-0.106467034,10.5487,0
600148,长春一东离合器股份有限公司,41274,1.0478,3.4608,2.3878,3.649079014,0.726118015,0.131360556,2.913,2.782670792,-8.054,0
600148,长春一东离合器股份有限公司,41639,1.1693,10.1361,2.2505,4.046800846,0.762805371,0.300160287,6.5282,1.100700942,5.4215,0
600148,长春一东离合器股份有限公司,42004,1.4908,17.6452,2.0498,3.720249302,0.757573451,0.329924652,8.78,1.043823639,0.8705,0
600148,长春一东离合器股份有限公司,42369,1.5351,5.5761,1.9937,2.76489241,0.610539918,0.058255041,1.4454,3.916106078,-5.2715,0
600148,长春一东离合器股份有限公司,42735,1.4325,24.7439,2.1566,2.641829686,0.640625619,0.122911567,5.0256,1.828904368,13.902,0
600166,北汽福田汽车股份有限公司,40543,0.686,41.4299,3.0567,13.07016557,2.170814006,0.22019366,3.2671,0.653512456,39.5538,0
600166,北汽福田汽车股份有限公司,40908,0.5594,8.2082,3.0929,6.468698858,1.836524327,0.105852994,1.8829,-0.455550517,14.1225,0
600166,北汽福田汽车股份有限公司,41274,0.9404,5.3867,2.1995,5.89714527,1.239774299,0.118542213,-2.329,-0.570066224,17.5224,0
600166,北汽福田汽车股份有限公司,42004,0.5474,3.9079,2.2318,3.453214903,0.971001149,0.027471662,-1.8748,2.403551053,6.5707,0
600166,北汽福田汽车股份有限公司,42369,0.7022,3.7012,2.2799,3.336185281,0.795207896,0.015830591,-2.503,1.374477708,23.2164,0
600166,北汽福田汽车股份有限公司,42735,0.7107,4.0737,2.8276,3.786052196,0.863088091,0.016644484,-1.25,2.327120624,26.1046,0
600166,北汽福田汽车股份有限公司,43100,0.6303,1.1095,3.2778,3.977225465,0.828430373,0.014462895,0.0106,-90.42191526,15.777,0
600166,北汽福田汽车股份有限公司,43465,0.8228,-3.6003,3.8715,4.295007513,0.696891662,-0.123020089,-9.1816,0.128510095,-5.6225,0
600178,哈尔滨东安汽车动力股份有限公司,40543,1.5807,11.5739,1.6098,4.630723766,0.636433731,0.089708618,5.4357,1.439272326,-7.5805,0
600178,哈尔滨东安汽车动力股份有限公司,40908,1.7285,5.4579,1.5575,3.517113882,0.422437074,0.024823518,2.0612,4.838326798,-1.7265,0
600178,哈尔滨东安汽车动力股份有限公司,41274,1.8427,-13.6578,1.6095,3.093654691,0.343511226,-0.032166661,-5.9336,-3.092370434,0.419,0
600178,哈尔滨东安汽车动力股份有限公司,41639,1.0672,-204.3404,1.7122,2.47106757,0.295389851,-0.29880221,-64.9678,0.282438717,-19.9777,0
600178,哈尔滨东安汽车动力股份有限公司,42004,0.9959,5.7016,1.6606,2.268941393,0.259471679,0.020544816,2.8055,-2.697894246,-1.0971,0
600178,哈尔滨东安汽车动力股份有限公司,42369,0.8883,3.4076,1.9565,3.761754027,0.368663802,0.017255244,1.4271,3.382519137,19.4545,0
600178,哈尔滨东安汽车动力股份有限公司,42735,0.8787,6.8395,2.3828,6.813855547,0.581863875,0.045327364,2.7344,-1.358220871,27.4789,0
600178,哈尔滨东安汽车动力股份有限公司,43100,0.7689,3.8006,2.0324,3.564284373,0.475005264,0.027252827,2.3154,1.454924235,-12.5659,0
600178,哈尔滨东安汽车动力股份有限公司,43465,0.6922,1.3977,1.8475,2.165744666,0.373976202,0.009174961,0.3852,38.2946726,-9.3395,0
600213,扬州亚星客车股份有限公司,40543,0.9041,2.6184,3.6161,4.303332203,0.839811299,0.056361805,-0.1309,1.359186341,6.6181,0
600213,扬州亚星客车股份有限公司,40908,0.8962,-31.3584,5.0711,9.711251582,0.896186994,-0.345639264,-8.9061,3.650820095,13.6603,0
600213,扬州亚星客车股份有限公司,41274,0.9678,2.718,6.3866,14.36686995,0.842500189,0.105231339,-1.9621,-15.56377335,30.8824,0
600213,扬州亚星客车股份有限公司,41639,0.8218,1.401,6.8511,6.382398448,0.66329997,0.057465305,-3.7492,-6.261772014,54.0926,0
600213,扬州亚星客车股份有限公司,42004,0.9843,-5.9753,17.8959,5.468153057,0.680244129,-0.340203129,-10.8811,2.095942126,18.8903,0
600213,扬州亚星客车股份有限公司,42369,1.042,1.5262,19.5208,7.832069144,0.749884077,0.179010188,0.7274,-11.83007096,24.1065,0
600213,扬州亚星客车股份有限公司,42735,0.9806,3.5305,22.7504,13.78327223,0.730882498,0.535774038,3.6231,-10.22702597,72.8668,0
600213,扬州亚星客车股份有限公司,43100,1.4437,2.013,18.1966,10.14961632,0.506222194,0.441747394,2.8598,-4.593286413,1.4787,0
